,0,1,2,3,4
0,Bag,Women Mobile Phone Bag Touch Screen Zipper Shoulder Strap Bag Messenger Pouch,$9.56 to $9.70,https://www.ebay.com/itm/174853556998?_trkparms=ispr%3D1&hash=item28b6158b06:g:V3wAAOSwuvRg-lgH&amdata=enc%3AAQAGAAACkPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsSDAeS9EQtjPGVfKXTxF0%252BjrndVfINJmzlUUKBhBO%252FgNRhw6YGtSbZz0KOeL%252F%252FZmaRh566UGsGVIfLY2pP3k15nKfufdocfkmNGOGe6Eqgo%252FrykWL38hiYrMKZNZMW8kDdrH%252FXltll%252F4ELYjyQy4SrxjQZzyjVwmFR5pGHAZG4gyOm%252FDJaWhjhFbpBH5UgphWPLWYQYK4Qx%252Bmdk1edoTjrOWO2HCiHWK0ytTA4IrjctcH%252Bg9sGMUmTBo1yEh3bdmrjqgdVOZh0udc4T2bVbgQ5NAa%252B7L5pqz1OoAzc4mvc1ba5j9qxWy3XShHRBDDA%252BbN8O57d5TpHo7e%252Bfd%252BDctvu3eBj4ZLemDx7mAibqvie9jcsIlpOpR1hs7ELW4Ng5a47EqVDylSVY8gZx0xKaOexwQXJBUUwfi4fUIohrzj5hoD5Ua3CFB%252Bt41hsY4wtyTRRfycqxLwQGvaYvcsYcITkxgMGsPSHBnX2qYVkQyNqfaFDVAPVYLwWj%252BnF0CB7VztEf%252BkTgD9slu8sbchbEsDeP6CIR4uMEpjP5cNXGTvrKrncs%252BWA2aTuv4%252Fs9tmuPARfSLYofOhrMh4VB9kddtu4mR3yL00knDcERjFuXUhy0l8O%252BdoIi8Hqt818C%252BWAlFxP9x%252Fz0k7cDm1sKWpWejomdCVeBefNjCP0f%252BxNY1ANHI3UCDkrD1%252Bb630J2zBGJrcoeZ3VGs7dqnrTB6OJ26xX3oFWw4%252BHEdAakDsFpMn65yxXva4hrwBcCUwyQGskrys0d732%252F3GfyQiMP8Jl5gQATQCly2IzhELdcOiuAYMLwYvXgmWVCUmT4WsCZqXKDNqN%7Campid%3APL_CLK%7Cclp%3A2334524,https://i.ebayimg.com/thumbs/images/g/V3wAAOSwuvRg-lgH/s-l225.jpg
1,Bag,Quilted Real Leather Gold Chain Drawstring Bucket Bag Shoulder Purse Crossbody,$85.99 to $89.99,https://www.ebay.com/itm/254833267133?_trkparms=ispr%3D1&hash=item3b553f11bd:g:mRIAAOSwIlhf~iUs&amdata=enc%3AAQAGAAACkPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsSg3Ye8yTWgOW7pmE1t838dnzvBOE6Xkb2fU%252B2mhux798nXXj4iOv0IO%252Bp88fBIq%252FhktejGJaXIbYCGSJpDXNG8kfGTB0KpUunnbZHqLvbEP9W5mYVBqA4JjOMiuYOVt9ofZLA%252BozU42PZbOYvf6rh9J8gHLDdqJYZ%252Bv8%252BlqVzMLWp6wYZCXiRALt7mxbi6l%252Benxipqp2%252FFyRMmK5SoQkLSAwUBXaeYNNdoAoTT%252FaWCAsdFHRwg67mF1Djv8du6fBzn7zbsw%252B7eHZcy8d%252FYVXBoTnqrkc6ZhClHFsLHu2ccuxpG50%252Fjzi1HpdidioiW7HMKoEJEyGj29aiHRJVqEwdgf%252BHGJsczjZZB2xF8lxrubcw1dH1RH9h0lhtK1SA6SSmUUorN1squfrcLxxTCCJM4Fzw6uVVTBCr0z9habtF0cKfKiKliIlOC2PLIwK6dyGS8Ysd2zkzQHFxTXGNtrOQVpOyjoe6u5ZVCN1NstfNN5vtIWcLrwjeYeHXWYvK5tr0quNVTsTpV9LxB98ithu3S912AhkXZyCRDQTLN04jjnPFDlXu25fXebYOCRO3azGkFGs3YnaWpVfY5%252ByaBCB3V9VtjiHXsZTv%252BIEhlFW9W3YvqAtNIWTgtKGvZXAzBLMv04vPIWLL14CYEZBKaV%252FeNmRzyV6yVkgmYo9cTqE3wncwp6q88Sfo08nkgp2iwC4ilMh0bXcqX0WnGjyI5UAT3GpHN%252BoWnvQGz9Bx9M02BJSNzjcP70sg3lHQ8Q4S8%252FXSv%252FKTbYvYueeKhnik1GdaSplxMqdo1PQSeALRTL8oTXPw5XsMK35ps5sxpwMYrgkR%7Campid%3APL_CLK%7Cclp%3A2334524,https://i.ebayimg.com/thumbs/images/g/mRIAAOSwIlhf~iUs/s-l225.jpg
2,Bag,Vermont's Original Bag Balm 8 oz Udder Creme,$11.73,https://www.ebay.com/itm/293986841854?epid=1419345410&_trkparms=ispr%3D1&hash=item4472fb34fe:g:D00AAOSwbihaIZ8u&amdata=enc%3AAQAGAAACkPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsS%252Fwocn770hnih0B3mVHNZ5OzfuPKwPshVBLpWUg7HDUedK3ICoZ%252B%252F6kvfU9SZPjbJiLCqP2nC%252BeFoxLqwUvRp6UqC8B1Ds%252BhwdmE5J7GHM%252B0Yfnx9KHE0Va0XUOnLjKPUzu5kQKm9XC8vQKzldXLlQCGPFOVXPC8IT4qmJHueUBxCuGwghsOcah5Dxb3qcH0lT8cN%252BIaTk33nbRnOp%252Fw4Ht8OPL8YgRt7zjJxmaJGoenbHGLhJzuJDgoem8y15tUZEiL%252BNSqc%252BsnVZqHkVROuR0JGqkke8incxOMnxF8CfJw8rwgkj3Q%252Ba0Mn%252FJdOSMTh0tj%252BlLSDr%252BcTVt%252FfsoymCGkASpDjGbnsNxjb1jkcRFfzR0behSN1u5Lg9IvI9J5qxm%252FuKtwPoKL%252Fky7OYIB8KxawXk6gZ11RsMzAt2NTtnXGYhLUJ36oSvegbNFeCpRIlnCc9vMQpvUN6kpTawDBboXbQyKSu8e82G0kNT%252FoCidolo%252F6AwnFEo5w%252Bsm%252B3nhGMm6sOon%252BRhW4Mx3qtNzIAsFKxeOHF15wyZapMO0HaX3tZQbPusZ%252BXL34%252B64fY64KcKcF29QsiE5rXS2Phnl7HQTY4bXQEs6CitcHnMAUJydsHdsTaCok%252BLUDRc8HlWctFIcAFUU2o2iiKWSIpB4EEUaxLs2J20Txd0a2H6BXqhdYkg2FgO1lak46mEDpm9KnreKBLEvnkFNmaoWf2BWE%252F9ryz%252B253yfzJalIMbcd2go4f6HYNUADcq7NTSFUQgZOeTgKm8zsk4%252Biiei293csehdkrx2fM3gNroR9hFde4qbUI5MgfYVdNJTPE1dCuO3G%7Campid%3APL_CLK%7Cclp%3A2334524,https://i.ebayimg.com/thumbs/images/g/D00AAOSwbihaIZ8u/s-l225.jpg
3,Bag,"UNICLO, large business bag, for document-file & laptop-PC, business trip Gear ",$1.00,https://www.ebay.com/itm/174952765244?hash=item28bbff573c:g:W5YAAOSwjNFhRYg-,https://i.ebayimg.com/thumbs/images/g/W5YAAOSwjNFhRYg-/s-l225.jpg
4,Bag,Patagonia Crossbody Bag,$24.99,https://www.ebay.com/itm/154625984308?hash=item24006d4734:g:3C0AAOSwDNBhT1Ur,https://i.ebayimg.com/thumbs/images/g/3C0AAOSwDNBhT1Ur/s-l225.jpg
5,Bag,Berluti Leather Bag Tag,$120.00,https://www.ebay.com/itm/255150225751?hash=item3b68237957:g:04sAAOSwUldg9E04,https://i.ebayimg.com/thumbs/images/g/04sAAOSwUldg9E04/s-l225.jpg
6,Bag,vintage 90s nike duffle bag,$20.00,https://www.ebay.com/itm/265329623896?hash=item3dc6e0c358:g:ypQAAOSw53RhRBax,https://i.ebayimg.com/thumbs/images/g/ypQAAOSw53RhRBax/s-l225.jpg
7,Bag,TIMBERLAND BLACK & LEATHER  BACKPACK TRAVEL BAG HAND LUGGAGE MULTI POCKETS ,$27.21,https://www.ebay.com/itm/313687744107?hash=item49093f1e6b:g:jQ8AAOSwOUphTzfW,https://i.ebayimg.com/thumbs/images/g/jQ8AAOSwOUphTzfW/s-l225.jpg
8,Bag,"Men's Marks & Spencer Black Leather Cross Body Bag ,Great Cond",$1.64,https://www.ebay.com/itm/224621494803?hash=item344c7c0213:g:4GoAAOSw9KVhTach,https://i.ebayimg.com/thumbs/images/g/4GoAAOSw9KVhTach/s-l225.jpg
9,Bag,The North Face Bag Black,$54.70,https://www.ebay.com/itm/255150492288?hash=item3b68278a80:g:HJ8AAOSwbZZhT0mi,https://i.ebayimg.com/thumbs/images/g/HJ8AAOSwbZZhT0mi/s-l225.jpg
