S/N,Category,Title,Price,Item_url,Image_url
1884,Skirt,"Oasis, Ladies mini skirt in dark green",$8.12,https://www.ebay.com/itm/265330850490?hash=item3dc6f37aba:g:ibEAAOSwIG9hRyOk,https://i.ebayimg.com/thumbs/images/g/ibEAAOSwIG9hRyOk/s-l225.jpg
1885,Skirt,Tu Skirt 12,$1.34,https://www.ebay.com/itm/133887826042?hash=item1f2c56187a:g:yL8AAOSwPQdhPfy7,https://i.ebayimg.com/thumbs/images/g/yL8AAOSwPQdhPfy7/s-l225.jpg
1886,Skirt,denim skirt size 14,$1.35,https://www.ebay.com/itm/265330881018?hash=item3dc6f3f1fa:g:9c8AAOSwVPZhUGQl,https://i.ebayimg.com/thumbs/images/g/9c8AAOSwVPZhUGQl/s-l225.jpg
1804,Skirt,UK Women Party Ladies Fuax Leather High Waist Party Dress A-Line Maxi Skirt 8-26,$10.82 to $13.53,https://www.ebay.com/itm/353236402677?_trkparms=ispr%3D1&hash=item523e87c1f5:g:uU0AAOSwEx5fha5U&amdata=enc%3AAQAGAAACoPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsSd0ReTLyM7cxPnI6zs468EMzH5PCDMtFB5SPS6s7wSjqPTQUgPbUnIGoRQhUMbxLg3BqP1eLBuPaLJalr0GFo7LYS11ANxRrVxJzEls3hM%252B16HmoLn%252Byk%252BS%252FLGPjhyPz0KbXNNhU7nObF35UHvTSuekDnQS1tsNWp6JORDh5ljJU6ZXagxc%252BOAFzSK1UrTITzO2KG5Wb8qDCa1MFz8jcZt7%252FCs5hivLUEKv4jTzLbAFqs45pXFMmBq5Nm56qorMu3S9IMFSUIKIACjGREN%252FQT09BRbum%252FadGZsMNqgjzXyG2Z5EIhnqMwE3MKDUlpvZ%252FbCQdGeYQQdcrC4mNHHDvkH3Fy9Npr9U%252BV0F%252Bnbu7ZdCtqXG7NamxwV2HdaDRYG1XTF1bN0u4r59JsSwmJZ9cu%252B4sgLPl%252FMGVFdohoxuuZkXAnAK%252BShnCemly1rTXiInZZEhGVfDP1JR0zSOCF%252Bv949m3IdKEpxs6fNnSf81rBPIxLSJcPznZRFnk8FR9YlPYXiDsac7%252FmH59kzzi%252FR1RMwh2fq%252BCD%252B3p012nRhoqcWgTXd1wvjGlTz3d6lw8yslinijeaQrfqYCURq%252BAglvoxEZ%252BliNo7lQoG%252B5KIALL9N2xgXHd%252FaGpqmNms2WzYOHDir6pFOnb9cXtU%252F%252BcG89XTlBQQN4zUoj2GjNSJU5MkBllzBydzZZ9aOh%252FuiV3AxUKOaz649vuE%252FNXljpso4p3xhSOxIoJv6dsjA59oLnhUGf%252BlNWaqWRlcrddO1Zn7OitE8X88hIqP1lL0erLhBilaaU5dvIZSbvgG86CmcI7M0NpBpByyGTZNTUzGIkrg98mNU4Myfc848twy%252B0Z2s5OqAA%253D%253D%7Campid%3APL_CLK%7Cclp%3A2334524,https://i.ebayimg.com/thumbs/images/g/uU0AAOSwEx5fha5U/s-l225.jpg
1805,Skirt,Portmans Size 12 Skirt,$10.89,https://www.ebay.com/itm/124920511013?hash=item1d15d7ba25:g:O38AAOSwvD5hRG1c,https://i.ebayimg.com/thumbs/images/g/O38AAOSwvD5hRG1c/s-l225.jpg
1806,Skirt,Cue Size 10 Skirt ,$20.32,https://www.ebay.com/itm/185083655393?_trkparms=ispr%3D1&hash=item2b17d874e1:g:7LoAAOSwAeRhWCUi&amdata=enc%3AAQAGAAACkPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsS7UXID%252BRPOSNsnm8kYPghtBWmkZwZh1Csn076Khj9ZLdIkN5btXxbPhWzpkNAP6Eww9rG0cSbNL7YvLHaT8mxAPi1489QcLnnEeFFRrvr2RMtH6TAVZFKXk4kYtlQMj4twWDEC0Fi9Ex6WPxXb3QXheEkCvcusNng6vA8Iw27FszIoueu6k%252F51WoT2nSZ9MgAVS0PFMpijy%252BOlDNSJ9m7RgO5s5sZow%252BmQ02t4GpbPIpZdtbqxejc8nB2p3yXL%252BbupPy4NT4k80aJGxaxGPL4HbKhleFcYvINGeoqgf89yIQ1Ro%252BKksm2NOkA02ShtJWd9ZQ6HC%252Fhgoy%252F0KUkYJzmvhyzDxM20dfwlK3XMh5%252BkiDMBYtSiImTQIWlN2w9xDkmJRvDzTJeJ3uhOYC5M0LEBeub9QAvFBP6ejbN8XMlmc8%252FAtUIQpF7cRgd5NRfFWrpCSbk4%252BlrBVJNj%252F3cQNwXEkBaZ%252FI%252BM5ioEaNvyib1z2HIwMNRB35npgCAd4QQJoNdXVjJjJN1qNcLNp%252ByZDLyP7TzGKzhszrpFSixdh2OKkbjLxh4fKdb0%252Fjc0ZqT%252BPIPPqJYPe6sCyh%252BL55aMBo%252BmCn7d14kpkbDsLkfZYqyIIAUry4AG0Bia4e32jFnFmJFeXn9K9ymXe%252FvOJ7XuOrcjjPH39AQUwNNKFZcROGet5jB%252FRkz7NoHEHBsnm4qKnJyudY6bDb2xujNu4q%252FZKwtXFarVU0iXne2AvkUOG2G68plqmwGBDDGiDPfmrZrwI2PvRO54pKie%252FZFgTv0ncpS8s3%252FRSdVGDA%252FEz6REv8YOiJlEni1hYOOe5ODreEXmJbU%7Campid%3APL_CLK%7Cclp%3A2334524,https://i.ebayimg.com/thumbs/images/g/7LoAAOSwAeRhWCUi/s-l225.jpg
1807,Skirt,Nike fit dry tennis skirt size S white mini A line 3.0022,$14.48,https://www.ebay.com/itm/274970533812?_trkparms=ispr%3D1&hash=item4005855fb4:g:jnIAAOSw87JhVswT&amdata=enc%3AAQAGAAACkPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsSlHY%252FYTip4QFVjNQrCEJt6kbYeAtMPBeNcioLRPi8nviaNEc6jLLbo4FEUwjCIQYQPS2Hpd%252FCF5pD2gIGMBXtfxLsvpay81ERuaqpCHG7HINFUdZN4pUiVQtxCHbmLR3NI7S0XpGVwa89Y3AGsgWW7vmiG2x6eZtV3j%252FIB1Fwzdk2j69N4dmhsYsBt%252BcmXwK%252FvxghK9%252Fft4IWIqngWS1EKh9lDXQ2XXX9pJDNYsCEOyBPsmC7U8Ph5ca%252FozZ9IAhkcR%252FnHvuQ9X9GGBe3UDhl7a7UNpESCAR%252FDUrVsgOpV%252BfAzo9R0zNKEtDWFfUGvR2EFzNrpMFoTmsNFYTLU000H0CaxDUoJkTSH6e7kEpfrriufZQ3ugzwxrHg4%252BsMjHGqxOjQ%252B7IGjAx6QJlxsS%252BU%252BXOEiY38a7U6Y0pjH8aCHxayCedFolUONhy18aoFg57Vvm4Z7gkBKw73%252F8GcxkaY4OEG7xLk9m2%252F4JtMyv%252BHlFtnRw%252BlHfYFF3E7KAcINrH1vhebjMH00L13zFGAPGHO6dAIZvdgc5UPx9FVO92kDxqchyZOPXVVcAcgFlXiF2j3PWCieV4QJnxfBmGEJkzm40POyOF3CJ0%252BQopS6pSBoWONL7EZPI9Jp9kV0IoFOzh0a5GFeUHrpIxi%252FIrEKmejE3eIu1c5ZP%252Fk3KxtL6BQE1MciH5nsdbN%252B3tsHqtS3JJasjFeSm1ddLNq1Ooo6v0xTSmau89dmtFV2IgYsG4MR2yroRyJhvLU33boeXdaeEUxg6ws79wa7aWvghAjUdiIf3R9q3eGTZNDwEBJXI%252BKvrNIRnJdAyFyqFnmXsef8ceP%7Campid%3APL_CLK%7Cclp%3A2334524,https://i.ebayimg.com/thumbs/images/g/jnIAAOSw87JhVswT/s-l225.jpg
1808,Skirt,BNWT Ivory Park Leopard Print Silk Look Lace Maxi Skirt Size XL Summer,$20.29,https://www.ebay.com/itm/115023254055?hash=item1ac7eb9227:g:5yIAAOSwbLRg4u1s,https://i.ebayimg.com/thumbs/images/g/5yIAAOSwbLRg4u1s/s-l225.jpg
1809,Skirt,Ladies Size 16 OASIS Blue Grey Woven Short Skirt,$6.76,https://www.ebay.com/itm/324812848840?hash=item4ba05abec8:g:-s8AAOSwI2phWKne,https://i.ebayimg.com/thumbs/images/g/-s8AAOSwI2phWKne/s-l225.jpg
1810,Skirt,New Look Embroidered Skirt 12,$6.77,https://www.ebay.com/itm/255153612510?hash=item3b685726de:g:e6kAAOSwdsxhUhhX,https://i.ebayimg.com/thumbs/images/g/e6kAAOSwdsxhUhhX/s-l225.jpg
