S/N,Category,Title,Price,Item_url,Image_url
1,shoe,ASICS Tiger Mens Gel-Diablo Suede Workout Running Shoes Sneakers BHFO 9669,$25.19 to $32.39,https://www.ebay.com/itm/333916816226?hash=item4dbefe4362:g:0NkAAOSwTc1hTKKB,https://i.ebayimg.com/thumbs/images/g/0NkAAOSwTc1hTKKB/s-l225.jpg
2,shoe,Canvas Pumps Mens Womens Chuck Taylor All Low Ox High Top Trainers ,$26.00 to $28.90,https://www.ebay.com/itm/363315888445?_trkparms=ispr%3D1&hash=item549750813d:g:2mMAAOSwvblc5k4P&amdata=enc%3AAQAGAAACkPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsS5%252FLJbfonbQUYd49AU1AJY%252FyHi6dUuLtX9s5vab%252FshwMVYU6bujvMf%252B06JeY9m7fbeOERz5CPP8S7Gfu5V8fuHhu5Lo8zqKmW1kezfB9ZiqXlEV9CBqT7XhIN39Rzda5W51vYoPtoCfjviPgq%252FqEzpyjWfsV1wo4nY4jmQrJ4k83ote4z%252B%252BxnW5mUisEVBkYbSQ7e1V6vFgc6lE8qRVZiUDVYJP%252FlDb%252B8Kb5OwOsyj73U2VZtOd5zz%252F0qokXH%252Bn5vBV3FsFSkBdFPRwgU%252Banlu5kjrhuDsytzurgdnGxMD9oPbi%252Bqg%252BkiEs71ymSBe9KydYX8pskU%252B5sXn3nVfZyrHR2AevqCVYHUov%252FF1ox5Y42ajG7ntSh75DfM3p1RJjVuw06kV48Y8IVwEjULjgP2bgOL0LPQXIwpZltuPAAN68cH%252BUBKf16A4jt1u1UPFLL0hv6he3N2koSJF58m2yf8%252BERY%252FyDfXyOatOgcj8eWPaWCxQ%252BGe%252F%252BgtxKRLJO0il1whj%252F422Xb%252BRdo6AX6cL%252BSWch%252BsPFrJxLpJ73um207Ww6%252BSCyBmRFrd15EjmK4VQlb1g2w49mklSsw5at6o15RuUI9DWmztoQJfYXp77Eoouz%252F38BRo0ia4rUke5gqlvOGrbVejTKD%252Fiqt0GGG33xukb8Vps4i0bKSRc8jM0xxUCdEl%252FwPoXoWWpvGP%252F1KaYenQTJlyZ8OnJcxlp2ejRslW2KYC0DLeU2hkk0XxqgvM%252BTJPFTmyOxWNrRJDggpYiMeolI7J0YKx1cX%252FZOcCOGjRbvUoJhYrRI7R4pA25q1DGyicWnXwiqfko9usPhi%252FVH9%7Campid%3APL_CLK%7Cclp%3A2334524,https://i.ebayimg.com/thumbs/images/g/2mMAAOSwvblc5k4P/s-l225.jpg
3,shoe,DC Shoes Pure Men's Leather Low Top Classic Skateboarding Sneakers,$31.49 to $49.49,https://www.ebay.com/itm/293624786898?hash=item445d66afd2:g:8PMAAOSwzUpgIuC-,https://i.ebayimg.com/thumbs/images/g/8PMAAOSwzUpgIuC-/s-l225.jpg
4,shoe,Insoles Insert Shoe Arch Support Carbon Fiber Rigid Inserts Flat - Size US 5-13,$49.45,https://www.ebay.com/itm/202720033488?_trkparms=ispr%3D1&hash=item2f330e3ad0:g:Q5EAAOSwWUJf61rC&amdata=enc%3AAQAGAAACkPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsSjVt3vLKCbov98Z19qhuwY%252FGJjYzL39qW6t0XHdkVeFG1B9NnG1HAf7y8fMbXmQqfSR7vMdZgh6mqb4TXWymb%252FpJTDLWlu40WZiGyQRuu9CzZFBE7RIYDPGw%252FqT5UZQW0eKqepmhrvGU4Ntr6P5WEL%252BanBQxQivnjPqzwOG8nQl5F1vaH1dqhY5c7vOXaSeqr1OIM2%252BIFTp9VXs709it6lM%252FGr0G3cjzLF9Yb%252Bu5upa%252BHFeu1jerf9B1xmtkfzueImk%252FJf1DyFtLufHXWBd7hdEBXglS2FxrMOe%252FLfZpsuQEB7QILi%252BXinsdvek51pPw4lfHNUCMwfdbktLM87wTvzZ6Rc0cEeP2jDKpnaLfQHIZ5SN53hBAhlq8Le4b%252B41IbBWa2TPkTeCUDZEaY9Xz32FE86k7n83gLlU7iQIptDuL8Lh2sEwd8nv86NpTdkOOTkSSH8A7rs89DGGVOk%252Fgs4iRRPvYPKXbicUIp%252Bqtq8%252B9YtA88dC1hixyAN4hfVQ98cs9vh4WnU8gXan8aRAIXZoqfxV3t6FSrhRQrFhJL9juAKUXnXF6nu3mFR9o65e3GprLfQGpTcWpy020qhvmeGdAanMNFvfjl5XhA%252BaGEWpW6X53d5fniD7ExhGSqaRpPZy3w8aNgc23THKBg5WHHcK8Mgx7Tt0M2oq04IwVLh61OHBffr8DMNCeunNPoPEzTIMCUgAHZCGPiYS0NXSVxoHsCiISmKbT1WDmop3N7ICOr%252B4no3JJfGF2GjuZW0vfyu4rqtPEDoEk5jZRQK9VjCOEAKV4ECTjeeueH5DzmAeu1J%252F8YZLc%252Fd86saOGgauho%7Campid%3APL_CLK%7Cclp%3A2334524,https://i.ebayimg.com/thumbs/images/g/Q5EAAOSwWUJf61rC/s-l225.jpg
5,shoe,"Newton Gravity III Mens M000114 Pop1 Sole Running Shoes, Size UK 9, Yellow",$27.35,https://www.ebay.com/itm/154624870214?hash=item24005c4746:g:5ccAAOSw9OFhTipz,https://i.ebayimg.com/thumbs/images/g/5ccAAOSw9OFhTipz/s-l225.jpg
6,shoe,Men's ADIDAS LONDON Shoes Trainers City Series Dublin UK 8.5 US 9 42 2/3 90's,$76.57,https://www.ebay.com/itm/115010786526?hash=item1ac72d54de:g:IigAAOSw~KVguMSO,https://i.ebayimg.com/thumbs/images/g/IigAAOSw~KVguMSO/s-l225.jpg
7,shoe,[New Balance] 530 Retro Running Shoes Sneakers - White(MR530SG),$99.82,https://www.ebay.com/itm/363011658478?epid=26045036478&hash=item54852e52ee:g:gPYAAOSwG4Be9FtP,https://i.ebayimg.com/thumbs/images/g/gPYAAOSwG4Be9FtP/s-l225.jpg
8,shoe,[New Balance] 530 Retro Running Shoes Sneakers - Beige(MR530SH),$99.82,https://www.ebay.com/itm/362963294641?epid=28045031750&hash=item54824c59b1:g:i3IAAOSwX3xe9FtO,https://i.ebayimg.com/thumbs/images/g/i3IAAOSwX3xe9FtO/s-l225.jpg
9,shoe,"Nike Air Trainer SB Horror Pack ‘Dawn Of The Dead’ Size UK8,EU42,5.",$233.10,https://www.ebay.com/itm/115011553459?hash=item1ac73908b3:g:YCgAAOSwH5dhPawN,https://i.ebayimg.com/thumbs/images/g/YCgAAOSwH5dhPawN/s-l225.jpg
10,shoe,Vans Old Skool All Over Checkerboard Black White Shoes New W/Box Men’s 3.5 - 13,$79.96,https://www.ebay.com/itm/164604869877?hash=item265336fcf5:g:fr8AAOSwkgZfIqZn,https://i.ebayimg.com/thumbs/images/g/fr8AAOSwkgZfIqZn/s-l225.jpg
